t_s,requests,p50_us,p95_us,p99_us,max_us
-0.9,916,923.5,1724.8,2070.7,4092.1
-0.8,1377,914.4,1896.5,2525.3,4826.9
-0.7,1463,867.0,1758.8,2222.3,2767.2
-0.6,1530,842.1,1656.8,2161.8,3724.3
-0.5,1647,818.9,1453.7,1771.1,2330.3
-0.4,1696,792.6,1480.6,1846.0,2774.9
-0.3,1771,757.9,1453.7,1795.1,2326.4
-0.2,1718,800.7,1489.2,1824.6,2057.6
-0.1,1875,719.6,1403.5,1704.5,2681.2
0.0,3765,708.3,1400.2,1747.2,2453.7
0.1,1840,731.0,1435.3,1713.4,2216.2
0.2,2018,620.4,1327.1,1620.9,2249.1
0.3,2016,671.0,1306.3,1573.4,2607.9
0.4,1946,628.6,1428.5,1858.2,2305.5
0.5,2102,222.1,1394.4,1701.0,2251.4
0.6,2156,206.6,1381.7,1727.3,2234.6
0.7,2202,199.3,1323.8,1618.4,2482.5
0.8,2233,201.5,1330.1,1637.2,2294.8
0.9,2041,213.8,1463.7,1864.3,2819.4
1.0,2237,175.8,1418.4,1739.2,2358.1
1.1,2182,185.8,1430.3,1766.7,4815.7
1.2,2236,168.9,1435.2,1903.2,2665.2
1.3,2356,169.7,1328.9,1641.3,2376.0
1.4,2332,175.6,1359.5,1627.3,2543.6
1.5,2334,172.7,1387.6,1751.2,2650.2
1.6,2460,157.9,1361.5,1738.7,3476.5
1.7,2550,153.1,1298.6,1676.4,2210.2
1.8,2515,158.6,1321.6,1661.1,2302.6
1.9,2677,149.3,1267.4,1572.1,2152.2
2.0,2627,150.4,1347.7,1690.7,2613.5
2.1,2578,154.5,1374.7,1771.5,3787.9
2.2,2805,150.9,1289.0,1727.6,2459.9
2.3,2938,146.7,1259.4,1666.2,3062.3
2.4,2911,147.0,1282.2,1711.6,2531.7
2.5,2949,142.6,1310.2,1777.4,3185.9
2.6,2943,142.5,1256.7,1726.6,3444.0
2.7,3239,138.8,1170.8,1499.4,2445.4
2.8,3391,130.8,1191.7,1631.1,2347.2
2.9,3365,133.1,1164.0,1583.4,2807.9
3.0,3451,132.1,1197.6,1590.0,2485.9
3.1,3476,133.5,1165.1,1529.8,3096.4
3.2,3583,131.6,1132.5,1489.9,2223.0
3.3,3738,128.4,1125.8,1439.1,2559.7
3.4,3863,129.7,1098.3,1452.6,3448.4
3.5,3885,128.6,1125.5,1516.0,2386.9
3.6,3806,129.8,1169.7,1584.8,2922.4
3.7,3930,133.0,1109.3,1479.3,2549.9
3.8,4266,126.2,1043.1,1421.9,2379.7
