t_s,requests,p50_us,p95_us,p99_us,max_us
12.7,9880,99.9,208.3,301.7,1058.2
12.8,8941,109.1,236.6,343.0,732.7
12.9,9107,107.4,232.4,337.1,583.8
13.0,9250,106.9,218.4,301.0,865.5
13.1,9837,101.2,205.1,287.0,727.8
13.2,9472,104.0,217.5,307.2,671.3
13.3,9556,104.8,209.7,296.6,578.3
13.4,9227,107.5,220.7,308.5,745.6
13.5,9349,105.9,217.8,297.4,649.5
13.6,9646,100.7,219.0,320.6,1041.5
13.7,9845,99.9,211.8,295.3,846.2
13.8,9655,104.4,205.4,292.9,545.6
13.9,9590,103.7,208.2,291.6,660.4
14.0,9714,102.7,205.1,288.1,949.2
14.1,8992,108.7,232.1,326.6,715.4
14.2,9607,103.3,211.8,298.6,980.3
14.3,9532,103.7,218.4,306.2,740.9
14.4,9542,104.1,212.9,301.1,632.6
14.5,9542,104.1,212.9,296.0,719.5
14.6,9846,100.4,212.2,290.9,613.5
14.7,9462,104.8,213.4,312.3,549.7
14.8,9474,105.0,211.8,306.8,742.8
14.9,9566,104.6,213.0,303.7,674.6
15.0,9591,104.7,208.6,286.2,631.0
15.1,10003,99.9,199.9,283.5,670.3
15.2,9957,99.1,207.1,300.3,585.2
15.3,9593,104.3,207.4,294.5,755.3
15.4,10151,97.5,202.1,285.4,579.0
15.5,10076,97.4,208.2,284.5,1720.4
15.6,10316,95.4,201.5,277.6,589.4
15.7,10132,97.6,200.8,280.0,605.3
15.8,10433,95.2,192.1,263.8,600.9
15.9,10379,94.1,203.0,286.5,648.2
16.0,9614,101.2,222.4,307.1,1401.1
16.1,10198,97.8,198.3,269.5,629.6
16.2,10465,94.6,194.8,265.9,708.4
16.3,9954,99.4,203.2,286.1,623.1
16.4,10183,97.8,199.5,277.2,695.3
16.5,10528,93.1,194.7,273.7,645.5
16.6,10064,98.9,202.6,265.8,723.8
16.7,9867,100.7,203.9,285.0,677.2
16.8,9927,101.7,199.1,273.8,1491.9
16.9,9873,99.6,207.2,292.1,739.4
17.0,10201,96.7,202.1,275.2,847.8
17.1,10254,95.2,201.9,296.2,626.9
17.2,9743,101.4,210.3,300.7,1552.8
17.3,10055,100.0,197.4,270.6,747.1
17.4,9581,103.5,211.7,301.0,772.7
17.5,9812,100.8,210.2,288.6,597.6
17.6,10273,96.2,201.6,276.4,604.6
17.7,10140,98.3,198.9,280.0,692.6
17.8,9910,99.1,210.3,300.2,549.6
17.9,10225,97.0,201.7,276.0,550.9
18.0,9410,106.0,215.4,291.1,538.3
18.1,9734,100.6,215.2,306.0,557.5
18.2,9636,102.7,211.3,295.0,516.9
18.3,9329,106.5,215.6,301.8,820.9
18.4,9967,99.2,205.9,289.9,611.5
18.5,9287,107.9,215.7,289.9,841.9
18.6,9931,101.5,198.8,279.7,1059.9
18.7,9661,102.3,210.4,299.7,716.0
18.8,9136,108.4,222.8,340.1,1443.9
18.9,9463,103.9,216.8,308.3,1320.0
19.0,9078,109.6,222.9,311.2,767.1
19.1,9560,103.2,215.5,309.7,896.0
19.2,9805,101.0,208.0,303.0,657.8
19.3,9805,101.4,208.5,296.0,595.5
19.4,9691,102.8,210.3,293.6,735.7
19.5,9043,108.8,230.0,334.4,1061.5
19.6,9435,105.7,215.0,299.0,876.6
19.7,9397,106.9,213.0,290.6,528.9
19.8,8816,113.5,228.0,327.2,662.0
19.9,9786,102.0,203.0,282.4,618.4
20.0,9336,105.3,218.5,308.7,843.2
20.1,9773,101.5,209.1,296.3,618.9
20.2,9732,100.1,218.0,310.1,659.7
20.3,10081,96.8,207.8,288.5,591.6
20.4,10116,97.6,205.5,291.1,702.5
20.5,9951,98.3,208.5,283.1,604.2
20.6,9574,102.2,216.9,305.8,874.4
20.7,9316,106.2,218.3,305.3,713.5
20.8,9154,109.3,220.7,320.7,1293.6
20.9,9308,106.2,222.5,320.2,776.0
21.0,9063,108.0,230.8,330.7,800.4
21.1,9501,103.9,220.1,306.1,778.6
21.2,9602,103.8,209.9,307.4,801.3
21.3,9823,100.2,211.3,293.0,734.0
21.4,9994,99.3,203.7,276.6,1377.5
21.5,9550,103.2,220.1,299.1,1966.7
21.6,9697,101.9,214.1,288.1,684.6
21.7,9622,102.3,213.5,300.6,924.9
21.8,9983,99.3,206.3,283.2,572.5
21.9,9687,101.6,212.9,293.5,709.7
22.0,10293,97.6,190.1,262.6,603.9
22.1,9453,104.4,216.3,299.2,823.5
22.2,9348,105.8,215.3,302.6,786.4
22.3,9371,104.1,224.4,318.9,1279.0
22.4,9725,101.2,213.1,290.0,1907.8
22.5,9534,103.0,220.1,299.7,601.8
22.6,10319,95.1,205.1,278.7,760.0
22.7,10143,95.4,209.9,308.0,1383.5
22.8,10149,99.8,191.7,277.4,523.0
22.9,9836,101.5,204.5,291.6,647.7
23.0,9406,105.0,215.3,309.7,720.2
23.1,9386,103.7,219.7,318.5,744.2
23.2,9545,102.7,215.0,323.4,870.4
23.3,9775,99.4,221.2,325.3,1169.1
23.4,9804,102.5,203.3,283.4,629.5
23.5,9754,101.0,210.2,294.9,686.7
23.6,10018,99.1,201.2,280.1,905.1
23.7,9951,99.3,204.4,293.3,751.4
23.8,9409,104.0,218.3,314.6,1300.6
23.9,9880,98.4,213.0,284.9,1050.3
24.0,9894,99.4,206.8,293.9,693.2
24.1,9686,102.1,212.7,299.0,718.8
24.2,9827,100.1,209.2,308.8,1068.7
24.3,9675,102.7,206.0,294.1,718.5
24.4,9969,101.0,198.5,278.6,694.0
24.5,9961,99.6,206.7,279.2,811.0
24.6,9992,98.7,203.6,284.7,709.4
24.7,9959,98.1,212.9,297.5,746.7
24.8,9470,105.5,219.9,307.6,851.9
24.9,9685,101.8,212.4,309.2,896.3
25.0,9791,101.4,210.6,296.1,2284.4
25.1,9623,102.5,214.6,316.1,840.4
25.2,9759,100.0,218.2,294.6,1758.5
25.3,9637,102.3,214.7,296.0,741.2
25.4,8972,108.9,229.6,335.5,700.5
25.5,9864,101.3,205.6,291.2,606.4
25.6,9565,104.2,208.9,303.4,835.6
25.7,9806,100.2,213.0,302.9,722.6
25.8,9702,101.5,213.6,295.7,749.1
25.9,9353,106.6,215.9,308.7,703.1
